Taxon_ID,Clean_Scientific_Name,Display_Common_Name,Family,Genus,Kingdom_Group,Public_Display_Group,Friendly_Evidence_Level,Friendly_Evidence_Label,Public_Evidence_Status,Occurrence_Evidence_Score_0_5,Public_Confidence,Beginner_Role_Sentence,Public_Function_Summary,Trophic_Mode,Guild,Growth_Form,Interaction_State,Interaction_Summary,Source_Layers_Present,MyCoPortal_Records,GBIF_BBox_Records,GBIF_Preserved_Specimens,GBIF_Human_Observations,iNaturalist_Checklist_Listed,USDA_Refined_Records,Interaction_Rows,Primary_URL,iNaturalist_Checklist_URL,Citation_Note
taxon-0842,Xanthomendoza weberi,Bare-bottom Sunburst Lichen,,Xanthomendoza,,Lichens,Good local candidate,Reported by local/community or candidate sources,Hays iNaturalist checklist-listed candidate,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,Lichen,,,,No merged interaction record,,iNaturalist_checklist,0,0,0,0,Yes,0,0,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=5&view=plain,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=5&view=plain,iNaturalist Hays checklist
taxon-0843,Xerocomellus chrysenteron,Red-cracking Bolete,,Xerocomellus,,Visible mushrooms / fruiting bodies,Good local candidate,Reported by local/community or candidate sources,Hays iNaturalist checklist-listed candidate,3,Moderate local evidence,"Known from a visible fruiting body; the hidden fungus may live in soil, wood, roots, or leaf litter.",Bolete / chanterelle,,,,No merged interaction record,,iNaturalist_checklist,0,0,0,0,Yes,0,0,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=3&view=plain,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=3&view=plain,iNaturalist Hays checklist
taxon-0168,Xerula hispida,,Physalacriaceae,Xerula,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,Hays checklist + GBIF bounding-box observation candidate,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,wood decomposer; host-associated / possible pathogen,Pathotroph-Saprotroph,Plant Pathogen|-Wood Saprotroph,Agaricoid,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",1,2,0,2,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=13513051,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0844,Xylaria filiformis,,,Xylaria,,Still being studied / unresolved,Good local candidate,Reported by local/community or candidate sources,Hays iNaturalist checklist-listed candidate,3,Moderate local evidence,Functional evidence suggests: Cup / club / ascomycete.,Cup / club / ascomycete,,,,No merged interaction record,,iNaturalist_checklist,0,0,0,0,Yes,0,0,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,iNaturalist Hays checklist
taxon-0845,Xylaria flabelliformis,,,Xylaria,,Still being studied / unresolved,Good local candidate,Reported by local/community or candidate sources,Hays iNaturalist checklist-listed candidate,3,Moderate local evidence,Functional evidence suggests: Cup / club / ascomycete.,Cup / club / ascomycete,,,,No merged interaction record,,iNaturalist_checklist,0,0,0,0,Yes,0,0,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=5&view=plain,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=5&view=plain,iNaturalist Hays checklist
taxon-0169,Xylaria hypoxylon,Candlesnuff Fungus,Xylariaceae,Xylaria,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,Hays checklist + GBIF bounding-box observation candidate,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,wood decomposer; host-associated / possible pathogen; endophyte,Pathotroph-Saprotroph,Endophyte-Wood Saprotroph,Xylarioid,Has merged interactions / hosts,,"GBIF_bbox, iNaturalist_checklist, FUNGuild, Interactions",0,10,0,10,Yes,0,1,https://www.gbif.org/occurrence/2557637325,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild; Central Texas interactions
taxon-0846,Xylaria longiana,,,Xylaria,,Still being studied / unresolved,Good local candidate,Reported by local/community or candidate sources,Hays iNaturalist checklist-listed candidate,3,Moderate local evidence,Functional evidence suggests: Cup / club / ascomycete.,Cup / club / ascomycete,,,,No merged interaction record,,iNaturalist_checklist,0,0,0,0,Yes,0,0,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,iNaturalist Hays checklist
taxon-0735,Xylaria poitei,,Xylariaceae,Xylaria,True fungi / lichenized fungi,Lichens,Good local candidate,Reported by local/community or candidate sources,Hays iNaturalist checklist-listed candidate,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,Cup / club / ascomycete,,,,No merged interaction record,,"MyCoPortal, iNaturalist_checklist",1,0,0,0,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=13518275,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,MyCoPortal; iNaturalist Hays checklist
taxon-0170,Xylaria polymorpha,Dead Man's Fingers,Xylariaceae,Xylaria,True fungi / lichenized fungi,Lichens,Good local candidate,Reported by local/community or candidate sources,Hays checklist + GBIF bounding-box observation candidate,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,wood decomposer,Saprotroph,Wood Saprotroph,Xylarioid,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",1,5,0,5,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=12310536,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0171,Aecidium houstoniatum,,Pucciniaceae,Aecidium,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Rust,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,8,6,0,,0,8,https://www.gbif.org/occurrence/2013955694,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0737,Aecidium Pers.,,Pucciniaceae,Aecidium,,Still being studied / unresolved,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,GBIF_bbox,0,2,2,0,,0,0,https://www.gbif.org/occurrence/1930125314,,GBIF bbox first-pass
taxon-0533,Agaricus deserticola,,Agaricaceae,Agaricus,,General decomposers / recyclers,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Likely helps recycle dead organic material into soil nutrients.,decomposer,Saprotroph,Undefined Saprotroph,Agaricoid-Gasteroid-Secotioid,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1929236739,,GBIF bbox first-pass; FUNGuild
taxon-0175,Alternaria brassicae,,Pleosporaceae,Alternaria,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,8,https://www.gbif.org/occurrence/3916152803,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0534,Alternaria cucumerina,,Pleosporaceae,Alternaria,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/4099186366,,GBIF bbox first-pass; FUNGuild
taxon-0176,Alternaria violae,,Pleosporaceae,Alternaria,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,wood decomposer; host-associated / possible pathogen; endophyte,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,4,https://www.gbif.org/occurrence/4099661448,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0535,Amandinea polyspora,,Physciaceae,Amandinea,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/1269612778,,GBIF bbox first-pass; FUNGuild
taxon-0536,Amandinea punctata,,Caliciaceae,Amandinea,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269613503,,GBIF bbox first-pass; FUNGuild
taxon-0177,Ampelomyces quisqualis,,Phaeosphaeriaceae,Ampelomyces,True fungi / lichenized fungi,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,host-associated / possible pathogen; endophyte,Symbiotroph,Endophyte,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,3,https://www.gbif.org/occurrence/4099556859,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0178,Angiopsora cameliae,,Phakopsoraceae,Angiopsora,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,2,2,0,,0,3,https://www.gbif.org/occurrence/1927993738,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0537,Arthonia caribaea,,Arthoniaceae,Arthonia,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph-Symbiotroph,Lichen Parasite-|Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/5076494993,,GBIF bbox first-pass; FUNGuild
taxon-0538,Arthonia chiodectella,,Arthoniaceae,Arthonia,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph-Symbiotroph,Lichen Parasite-|Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269612542,,GBIF bbox first-pass; FUNGuild
taxon-0539,Arthonia patellulata,,Arthoniaceae,Arthonia,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph-Symbiotroph,Lichen Parasite-|Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/1269616524,,GBIF bbox first-pass; FUNGuild
taxon-0540,Arthonia punctiformis,,Arthoniaceae,Arthonia,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph-Symbiotroph,Lichen Parasite-|Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269616582,,GBIF bbox first-pass; FUNGuild
taxon-0541,Arthonia tetramera,,Arthoniaceae,Arthonia,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph-Symbiotroph,Lichen Parasite-|Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269616492,,GBIF bbox first-pass; FUNGuild
taxon-0542,Arthuriomyces peckianus,,Phragmidiaceae,Arthuriomyces,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,,No merged interaction record,,"GBIF_bbox, FUNGuild",0,6,5,1,,0,0,https://www.gbif.org/occurrence/3759245392,,GBIF bbox first-pass; FUNGuild
taxon-0180,Aschersonia aleyrodis,,Clavicipitaceae,Aschersonia,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Animal Parasite|-Animal Pathogen-Plant Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,1,https://www.gbif.org/occurrence/4099590223,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0543,Ascochyta boerhaviae,,Didymellaceae,Ascochyta,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph,Lichen Parasite-|Plant Pathogen,Microfungus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,3,3,0,,0,0,https://www.gbif.org/occurrence/1928021216,,GBIF bbox first-pass; FUNGuild
taxon-0182,Astraeus hygrometricus,,Diplocystidiaceae,Astraeus,True fungi / lichenized fungi,Plant-root partners / mycorrhizal fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,May participate in below-ground plant-root relationships; local function still depends on habitat and host context.,plant-root partner; host-associated / possible pathogen,Symbiotroph,Ectomycorrhizal,Gasteroid,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,4,4,0,,0,7,https://www.gbif.org/occurrence/1928192414,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0183,Atkinsonella hypoxylon,,Clavicipitaceae,Atkinsonella,True fungi / lichenized fungi,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,decomposer; host-associated / possible pathogen; endophyte,Saprotroph-Symbiotroph,Clavicipitaceous |Endophyte|-Plant Saprotroph,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,6,6,0,,0,3,https://www.gbif.org/occurrence/1928373416,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0741,Bacidia De,,Ramalinaceae,Bacidia,,Still being studied / unresolved,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,GBIF_bbox,0,1,1,0,,0,0,https://www.gbif.org/occurrence/6061954962,,GBIF bbox first-pass
taxon-0544,Bagliettoa calciseda,,Verrucariaceae,Bagliettoa,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269599179,,GBIF bbox first-pass; FUNGuild
taxon-0185,Beauveria bassiana,,Cordycipitaceae,Beauveria,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Animal Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,1,https://www.gbif.org/occurrence/4099844955,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0186,Bipolaris cookei,,Pleosporaceae,Bipolaris,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,2,2,0,,0,4,https://www.gbif.org/occurrence/4099153129,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0187,Bisifusarium lunatum,,Nectriaceae,Bisifusarium,True fungi / lichenized fungi,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,wood decomposer; host-associated / possible pathogen,Saprotroph,Plant Saprotroph|-Wood Saprotroph,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,3,https://www.gbif.org/occurrence/4104416595,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0188,Blumeriella jaapii,,Drepanopezizaceae,Blumeriella,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,4,4,0,,0,22,https://www.gbif.org/occurrence/4099117049,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0545,Botryobasidium vagum,,Botryobasidiaceae,Botryobasidium,,Wood decomposers,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Helps break down wood and return nutrients to the soil system.,wood decomposer,Saprotroph,Undefined Saprotroph-|Wood Saprotroph,Corticioid,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/1929338779,,GBIF bbox first-pass; FUNGuild
taxon-0546,Botryosphaeria stevensii,,Botryosphaeriaceae,Botryosphaeria,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,3,3,0,,0,0,https://www.gbif.org/occurrence/4099561445,,GBIF bbox first-pass; FUNGuild
taxon-0547,Buellia polyspora,,Caliciaceae,Buellia,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269600535,,GBIF bbox first-pass; FUNGuild
taxon-0548,Buellia stillingiana,,Caliciaceae,Buellia,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/1931167201,,GBIF bbox first-pass; FUNGuild
taxon-0192,Calophoma aquilegiicola,,Didymellaceae,Calophoma,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,1,1,0,,0,1,https://www.gbif.org/occurrence/4100029730,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0549,Caloplaca atrosanguinea,,Teloschistaceae,Caloplaca,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/1269600204,,GBIF bbox first-pass; FUNGuild
taxon-0194,Candelaria concolor,,Candelariaceae,Candelaria,True fungi / lichenized fungi,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,12,1,11,,0,2,https://www.gbif.org/occurrence/1837734369,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0550,Candelariella xanthostigma,,Candelariaceae,Candelariella,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,lichenized symbiont; host-associated / possible pathogen,Pathotroph-Symbiotroph,Lichen Parasite-|Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/1269600783,,GBIF bbox first-pass; FUNGuild
taxon-0551,Candelinella deppeanae,,Candelariaceae,Candelinella,,Still being studied / unresolved,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,"GBIF_bbox, FUNGuild",0,2,2,0,,0,0,https://www.gbif.org/occurrence/1269612026,,GBIF bbox first-pass
taxon-0552,Canoparmelia cryptochlorophaea,,Parmeliaceae,Canoparmelia,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/4076817530,,GBIF bbox first-pass; FUNGuild
taxon-0553,Catapyrenium lachneum,,Verrucariaceae,Catapyrenium,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,4,4,0,,0,0,https://www.gbif.org/occurrence/2028336341,,GBIF bbox first-pass; FUNGuild
taxon-0554,Catapyrenium squamulosum,,Verrucariaceae,Catapyrenium,,Lichens,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,lichenized symbiont,Symbiotroph,Lichenized,Microfungus-Thallus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,4,3,1,,0,0,https://www.gbif.org/occurrence/1453378030,,GBIF bbox first-pass; FUNGuild
taxon-0201,Ceratocarpia wrightii,,,Ceratocarpia,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,decomposer; host-associated / possible pathogen,Pathotroph-Saprotroph,Plant Pathogen|-Plant Saprotroph,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,3,3,0,,0,4,https://www.gbif.org/occurrence/4099366204,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0202,Cercospora acalyphae,,Mycosphaerellaceae,Cercospora,True fungi / lichenized fungi,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,Has merged interactions / hosts,,"GBIF_bbox, FUNGuild, Interactions",0,7,7,0,,0,3,https://www.gbif.org/occurrence/1928950336,,GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0555,Cercospora acanthi,,Mycosphaerellaceae,Cercospora,,Plant disease / host-associated fungi,Good local candidate,Reported by local/community or candidate sources,GBIF Hays bounding-box specimen candidate; polygon review needed,3,Moderate local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,No merged interaction record,,"GBIF_bbox, FUNGuild",0,1,1,0,,0,0,https://www.gbif.org/occurrence/4099868595,,GBIF bbox first-pass; FUNGuild
